                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4645,                 3.7319,                 1.5047,                0.00327,                0.98214,                0.42385,                0.20979,                 1.2808,                 3.7922,                 1.1905,                0.00024,                0.00024,                0.00024
                      2,                 1.4072,                 2.4837,                 1.3302,                0.00327,                0.98214,                0.11316,                0.04253,                 1.3674,                 3.9049,                 1.2711,             0.00047525,             0.00047525,             0.00047525
                      3,                 1.4282,                 2.0267,                 1.3346,                0.00321,                0.96429,                0.00704,                0.00366,                 1.3386,                 3.9217,                 1.2794,             0.00068476,             0.00068476,             0.00068476
                      4,                 1.4772,                 1.7906,                 1.2981,                 0.0031,                0.92857,                0.02825,                0.01275,                 1.5527,                 3.9952,                 1.4225,             0.00086853,             0.00086853,             0.00086853
                      5,                 1.4084,                 1.5819,                  1.269,                      1,                0.23738,                0.78026,                0.42689,                 1.5723,                 3.5509,                 1.4182,              0.0010266,              0.0010266,              0.0010266
                      6,                 1.4516,                 1.5448,                 1.2567,                0.86867,                0.67857,                0.82562,                0.39516,                 1.6548,                 3.1808,                 1.5061,              0.0011588,              0.0011588,              0.0011588
                      7,                 1.3544,                 1.5148,                 1.2578,                0.63087,                0.80357,                0.60604,                0.32353,                 1.5647,                  2.791,                 1.3964,              0.0012654,              0.0012654,              0.0012654
                      8,                 1.3715,                 1.4754,                 1.3077,                0.80254,                0.79842,                0.85868,                  0.416,                 1.6236,                 2.4195,                  1.411,               0.001307,               0.001307,               0.001307
                      9,                 1.3897,                 1.4344,                 1.2662,                0.71617,                0.85714,                0.74812,                0.40478,                 1.5282,                 1.9083,                 1.4378,               0.001307,               0.001307,               0.001307
                     10,                 1.3585,                  1.373,                 1.2561,                0.95896,                0.83468,                0.93102,                0.47166,                 1.5412,                 1.8564,                 1.3858,               0.001208,               0.001208,               0.001208
                     11,                 1.3435,                 1.3581,                 1.2761,                 0.3992,                0.82143,                0.38422,                 0.2006,                 1.5933,                 4.0631,                 1.4115,               0.001109,               0.001109,               0.001109
                     12,                 1.3988,                 1.3331,                  1.319,                0.85553,                0.84607,                0.88367,                0.50349,                 1.5034,                 1.5619,                 1.3799,                0.00101,                0.00101,                0.00101
                     13,                 1.3072,                 1.2419,                 1.2824,                 0.6798,                0.94643,                0.70265,                0.41276,                 1.3844,                 1.5219,                 1.2723,               0.000911,               0.000911,               0.000911
                     14,                 1.2425,                 1.1233,                 1.2224,                0.97903,                0.94643,                0.97855,                0.57405,                 1.3526,                 1.2153,                 1.2481,               0.000812,               0.000812,               0.000812
                     15,                 1.2319,                 1.1126,                  1.242,                0.97443,                0.94643,                0.96867,                0.58181,                 1.3727,                 1.4163,                 1.2406,               0.000713,               0.000713,               0.000713
                     16,                 1.2241,                 1.0841,                 1.2015,                0.89913,                0.96429,                 0.9741,                 0.5346,                 1.3839,                 1.3542,                 1.2542,               0.000614,               0.000614,               0.000614
                     17,                 1.2121,                 1.0551,                 1.2089,                0.91595,                0.97302,                0.96983,                0.54921,                 1.3555,                 1.2379,                 1.2307,               0.000515,               0.000515,               0.000515
                     18,                 1.1846,                 1.0083,                 1.1746,                0.92905,                0.96429,                 0.9749,                0.54527,                 1.3889,                  1.147,                  1.243,               0.000416,               0.000416,               0.000416
                     19,                 1.1023,                0.90956,                 1.1362,                0.95567,                0.94643,                0.97902,                0.57609,                 1.3882,                 1.1063,                 1.2397,               0.000317,               0.000317,               0.000317
                     20,                 1.1085,                0.91164,                 1.1394,                 0.9562,                0.94643,                0.98552,                0.58508,                 1.3789,                 1.0291,                 1.2286,               0.000218,               0.000218,               0.000218
